term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Aussteller,,exhibitor,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausstellung,,exhibition,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausstoß,,output,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Austausch,,exchange,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
austauschen,,exchange,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
austeilen,,deal,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Australien,,Australia,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausverkaufen,,sell out,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Auswahl,,choice,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausweiten,,widen,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
auswendig,,by heart,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Baby,,baby,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bach,,brook,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
backen,,bake,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bäcker,,baker,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bad,,bath,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
baden,,bathe,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Badezimmer,,bathroom,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bahnhof,,station,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bahnsteig,,platform,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
balancieren,,balance,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
bald,,soon,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ball,,ball,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Banane,,banana,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
band,,bound,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bank,,bank,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Banknote,,bank note,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bar,,bar,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bargeld,,cash,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
